claim_id,page,url,section,exact_claim,claim_category,evidence_source,verified,expiry_date,feature_flag,schema_match,risk_level,review_status,notes
"CLM-1","Homepage","https://getiptvpanel.com/","Pricing Table","Panel rates £12, £18, £24 per credit with 10 credit minimum","PRICING","src/config/plans.ts","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Owner Verified"
"CLM-2","Homepage","https://getiptvpanel.com/","Package Terms","1 credit equals 12 months activation","RIGHTS","src/config/plans.ts","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Owner Verified"
"CLM-3","Homepage","https://getiptvpanel.com/","Legal Disclaimer / Footer","Panel access does not grant third-party content rights","RIGHTS","AGENTS.md","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Verified Safeguard"
"CLM-4","Homepage","https://getiptvpanel.com/","Pricing Cards","No added panel fees, taxes or setup charges","PRICING","src/config/plans.ts","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Owner Verified"
"CLM-5","IPTV Reseller Panel Overview","https://getiptvpanel.com/reseller-panel","Pricing Table","Panel rates £12, £18, £24 per credit with 10 credit minimum","PRICING","src/config/plans.ts","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Owner Verified"
"CLM-6","IPTV Reseller Panel Overview","https://getiptvpanel.com/reseller-panel","Package Terms","1 credit equals 12 months activation","RIGHTS","src/config/plans.ts","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Owner Verified"
"CLM-7","IPTV Reseller Panel Overview","https://getiptvpanel.com/reseller-panel","Legal Disclaimer / Footer","Panel access does not grant third-party content rights","RIGHTS","AGENTS.md","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Verified Safeguard"
"CLM-8","IPTV Reseller Panel Overview","https://getiptvpanel.com/reseller-panel","Pricing Cards","No added panel fees, taxes or setup charges","PRICING","src/config/plans.ts","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Owner Verified"
"CLM-9","IPTV Reseller Packages UK","https://getiptvpanel.com/reseller-packages","Pricing Table","Panel rates £12, £18, £24 per credit with 10 credit minimum","PRICING","src/config/plans.ts","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Owner Verified"
"CLM-10","IPTV Reseller Packages UK","https://getiptvpanel.com/reseller-packages","Package Terms","1 credit equals 12 months activation","RIGHTS","src/config/plans.ts","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Owner Verified"
"CLM-11","IPTV Reseller Packages UK","https://getiptvpanel.com/reseller-packages","Legal Disclaimer / Footer","Panel access does not grant third-party content rights","RIGHTS","AGENTS.md","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Verified Safeguard"
"CLM-12","IPTV Reseller Packages UK","https://getiptvpanel.com/reseller-packages","Pricing Cards","No added panel fees, taxes or setup charges","PRICING","src/config/plans.ts","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Owner Verified"
"CLM-13","Become an IPTV Reseller","https://getiptvpanel.com/become-a-reseller","Pricing Table","Panel rates £12, £18, £24 per credit with 10 credit minimum","PRICING","src/config/plans.ts","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Owner Verified"
"CLM-14","Become an IPTV Reseller","https://getiptvpanel.com/become-a-reseller","Package Terms","1 credit equals 12 months activation","RIGHTS","src/config/plans.ts","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Owner Verified"
"CLM-15","Become an IPTV Reseller","https://getiptvpanel.com/become-a-reseller","Legal Disclaimer / Footer","Panel access does not grant third-party content rights","RIGHTS","AGENTS.md","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Verified Safeguard"
"CLM-16","Become an IPTV Reseller","https://getiptvpanel.com/become-a-reseller","Pricing Cards","No added panel fees, taxes or setup charges","PRICING","src/config/plans.ts","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Owner Verified"
"CLM-17","IPTV Reseller Profit Calculator","https://getiptvpanel.com/profit-calculator","Pricing Table","Panel rates £12, £18, £24 per credit with 10 credit minimum","PRICING","src/config/plans.ts","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Owner Verified"
"CLM-18","IPTV Reseller Profit Calculator","https://getiptvpanel.com/profit-calculator","Package Terms","1 credit equals 12 months activation","RIGHTS","src/config/plans.ts","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Owner Verified"
"CLM-19","IPTV Reseller Profit Calculator","https://getiptvpanel.com/profit-calculator","Legal Disclaimer / Footer","Panel access does not grant third-party content rights","RIGHTS","AGENTS.md","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Verified Safeguard"
"CLM-20","IPTV Reseller Profit Calculator","https://getiptvpanel.com/profit-calculator","Pricing Cards","No added panel fees, taxes or setup charges","PRICING","src/config/plans.ts","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Owner Verified"
"CLM-21","Is IPTV Legal in the UK?","https://getiptvpanel.com/is-iptv-legal-in-the-uk","Pricing Table","Panel rates £12, £18, £24 per credit with 10 credit minimum","PRICING","src/config/plans.ts","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Owner Verified"
"CLM-22","Is IPTV Legal in the UK?","https://getiptvpanel.com/is-iptv-legal-in-the-uk","Package Terms","1 credit equals 12 months activation","RIGHTS","src/config/plans.ts","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Owner Verified"
"CLM-23","Is IPTV Legal in the UK?","https://getiptvpanel.com/is-iptv-legal-in-the-uk","Legal Disclaimer / Footer","Panel access does not grant third-party content rights","RIGHTS","AGENTS.md","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Verified Safeguard"
"CLM-24","Is IPTV Legal in the UK?","https://getiptvpanel.com/is-iptv-legal-in-the-uk","Pricing Cards","No added panel fees, taxes or setup charges","PRICING","src/config/plans.ts","true","2026-12-31","B2B_PRIMARY","true","LOW","PENDING_OWNER_LEGAL","Owner Verified"
