url,section,copy_excerpt,source_file,source_line_or_key,shared_component,feature_flag,editable_location,notes
"https://getiptvpanel.com/","Page Hero & Primary Copy","IPTV Reseller Panel for UK Reseller Businesses","src/pages/index.astro","Hero Component / Layout","PageHero.astro / Layout.astro","B2B_PRIMARY","src/pages/index.astro","Primary title and headline"
"https://getiptvpanel.com/reseller-panel","Page Hero & Primary Copy","See How the IPTV Reseller Panel Works","src/pages/reseller-panel.astro","Hero Component / Layout","PageHero.astro / Layout.astro","B2B_PRIMARY","src/pages/reseller-panel.astro","Primary title and headline"
"https://getiptvpanel.com/reseller-packages","Page Hero & Primary Copy","Compare IPTV Reseller Credit Packages","src/pages/reseller-packages.astro","Hero Component / Layout","PageHero.astro / Layout.astro","B2B_PRIMARY","src/pages/reseller-packages.astro","Primary title and headline"
"https://getiptvpanel.com/become-a-reseller","Page Hero & Primary Copy","How to Become an IPTV Reseller with a Clear Operating Plan","src/pages/become-a-reseller.astro","Hero Component / Layout","PageHero.astro / Layout.astro","B2B_PRIMARY","src/pages/become-a-reseller.astro","Primary title and headline"
"https://getiptvpanel.com/profit-calculator","Page Hero & Primary Copy","Estimate IPTV Reseller Revenue, Costs and Margin","src/pages/profit-calculator.astro","Hero Component / Layout","PageHero.astro / Layout.astro","B2B_PRIMARY","src/pages/profit-calculator.astro","Primary title and headline"
"https://getiptvpanel.com/individual-subscription","Page Hero & Primary Copy","Looking for One IPTV Subscription?","src/pages/individual-subscription.astro","Hero Component / Layout","PageHero.astro / Layout.astro","B2B_PRIMARY","src/pages/individual-subscription.astro","Primary title and headline"
"https://getiptvpanel.com/how-to-choose-an-iptv-service","Page Hero & Primary Copy","How to Choose an IPTV Service in the UK","src/pages/how-to-choose-an-iptv-service.astro","Hero Component / Layout","PageHero.astro / Layout.astro","B2B_PRIMARY","src/pages/how-to-choose-an-iptv-service.astro","Primary title and headline"
"https://getiptvpanel.com/is-iptv-legal-in-the-uk","Page Hero & Primary Copy","Is IPTV Legal in the UK?","src/pages/is-iptv-legal-in-the-uk.astro","Hero Component / Layout","PageHero.astro / Layout.astro","B2B_PRIMARY","src/pages/is-iptv-legal-in-the-uk.astro","Primary title and headline"
"https://getiptvpanel.com/guides","Page Hero & Primary Copy","IPTV Player Setup Guides for Supported Devices","src/pages/guides/index.astro","Hero Component / Layout","PageHero.astro / Layout.astro","B2B_PRIMARY","src/pages/guides/index.astro","Primary title and headline"
"https://getiptvpanel.com/guides/tivimate-setup","Page Hero & Primary Copy","How to Set Up TiviMate on Android TV or Google TV","src/pages/guides/tivimate-setup.astro","Hero Component / Layout","PageHero.astro / Layout.astro","B2B_PRIMARY","src/pages/guides/tivimate-setup.astro","Primary title and headline"
"https://getiptvpanel.com/guides/iptv-smarters-setup","Page Hero & Primary Copy","How to Set Up IPTV Smarters on a Supported Device","src/pages/guides/iptv-smarters-setup.astro","Hero Component / Layout","PageHero.astro / Layout.astro","B2B_PRIMARY","src/pages/guides/iptv-smarters-setup.astro","Primary title and headline"
"https://getiptvpanel.com/guides/fire-tv-setup","Page Hero & Primary Copy","How to Set Up an IPTV Player on Fire TV Safely","src/pages/guides/fire-tv-setup.astro","Hero Component / Layout","PageHero.astro / Layout.astro","B2B_PRIMARY","src/pages/guides/fire-tv-setup.astro","Primary title and headline"
"https://getiptvpanel.com/about","Page Hero & Primary Copy","A UK-First Route to Reseller-Panel Enquiries","src/pages/about.astro","Hero Component / Layout","PageHero.astro / Layout.astro","B2B_PRIMARY","src/pages/about.astro","Primary title and headline"
"https://getiptvpanel.com/contact","Page Hero & Primary Copy","Contact the Right Team with the Right Context","src/pages/contact.astro","Hero Component / Layout","PageHero.astro / Layout.astro","B2B_PRIMARY","src/pages/contact.astro","Primary title and headline"
"https://getiptvpanel.com/support","Page Hero & Primary Copy","Give Support the Context Needed to Diagnose the Problem","src/pages/support.astro","Hero Component / Layout","PageHero.astro / Layout.astro","B2B_PRIMARY","src/pages/support.astro","Primary title and headline"
"https://getiptvpanel.com/privacy-policy","Page Hero & Primary Copy","Privacy Policy","src/pages/privacy-policy.astro","Hero Component / Layout","PageHero.astro / Layout.astro","B2B_PRIMARY","src/pages/privacy-policy.astro","Primary title and headline"
"https://getiptvpanel.com/terms","Page Hero & Primary Copy","Website Terms","src/pages/terms.astro","Hero Component / Layout","PageHero.astro / Layout.astro","B2B_PRIMARY","src/pages/terms.astro","Primary title and headline"
"https://getiptvpanel.com/refund-policy","Page Hero & Primary Copy","Refund Policy","src/pages/refund-policy.astro","Hero Component / Layout","PageHero.astro / Layout.astro","B2B_PRIMARY","src/pages/refund-policy.astro","Primary title and headline"
"https://getiptvpanel.com/acceptable-use","Page Hero & Primary Copy","Acceptable Use Policy","src/pages/acceptable-use.astro","Hero Component / Layout","PageHero.astro / Layout.astro","B2B_PRIMARY","src/pages/acceptable-use.astro","Primary title and headline"
