copy_block_id,word_count,exact_or_near_duplicate,pages,source_component,shared_intentionally,review_priority,notes
"DUP-reseller-panel-FOOTER-DISCLAIMER","32","EXACT","https://getiptvpanel.com/reseller-panel, https://getiptvpanel.com/","src/components/Footer.astro","true","P2","Standard legal footer disclaimer across all indexable pages"
"DUP-become-a-reseller-FOOTER-DISCLAIMER","32","EXACT","https://getiptvpanel.com/become-a-reseller, https://getiptvpanel.com/","src/components/Footer.astro","true","P2","Standard legal footer disclaimer across all indexable pages"
"DUP-profit-calculator-FOOTER-DISCLAIMER","32","EXACT","https://getiptvpanel.com/profit-calculator, https://getiptvpanel.com/","src/components/Footer.astro","true","P2","Standard legal footer disclaimer across all indexable pages"
"DUP-individual-subscription-FOOTER-DISCLAIMER","32","EXACT","https://getiptvpanel.com/individual-subscription, https://getiptvpanel.com/","src/components/Footer.astro","true","P2","Standard legal footer disclaimer across all indexable pages"
"DUP-how-to-choose-an-iptv-service-FOOTER-DISCLAIMER","32","EXACT","https://getiptvpanel.com/how-to-choose-an-iptv-service, https://getiptvpanel.com/","src/components/Footer.astro","true","P2","Standard legal footer disclaimer across all indexable pages"
"DUP-is-iptv-legal-in-the-uk-FOOTER-DISCLAIMER","32","EXACT","https://getiptvpanel.com/is-iptv-legal-in-the-uk, https://getiptvpanel.com/","src/components/Footer.astro","true","P2","Standard legal footer disclaimer across all indexable pages"
"DUP-guides-FOOTER-DISCLAIMER","32","EXACT","https://getiptvpanel.com/guides, https://getiptvpanel.com/","src/components/Footer.astro","true","P2","Standard legal footer disclaimer across all indexable pages"
"DUP-tivimate-setup-FOOTER-DISCLAIMER","32","EXACT","https://getiptvpanel.com/guides/tivimate-setup, https://getiptvpanel.com/","src/components/Footer.astro","true","P2","Standard legal footer disclaimer across all indexable pages"
"DUP-iptv-smarters-setup-FOOTER-DISCLAIMER","32","EXACT","https://getiptvpanel.com/guides/iptv-smarters-setup, https://getiptvpanel.com/","src/components/Footer.astro","true","P2","Standard legal footer disclaimer across all indexable pages"
"DUP-fire-tv-setup-FOOTER-DISCLAIMER","32","EXACT","https://getiptvpanel.com/guides/fire-tv-setup, https://getiptvpanel.com/","src/components/Footer.astro","true","P2","Standard legal footer disclaimer across all indexable pages"
"DUP-about-FOOTER-DISCLAIMER","32","EXACT","https://getiptvpanel.com/about, https://getiptvpanel.com/","src/components/Footer.astro","true","P2","Standard legal footer disclaimer across all indexable pages"
"DUP-contact-FOOTER-DISCLAIMER","32","EXACT","https://getiptvpanel.com/contact, https://getiptvpanel.com/","src/components/Footer.astro","true","P2","Standard legal footer disclaimer across all indexable pages"
"DUP-support-FOOTER-DISCLAIMER","32","EXACT","https://getiptvpanel.com/support, https://getiptvpanel.com/","src/components/Footer.astro","true","P2","Standard legal footer disclaimer across all indexable pages"
"DUP-privacy-policy-FOOTER-DISCLAIMER","32","EXACT","https://getiptvpanel.com/privacy-policy, https://getiptvpanel.com/","src/components/Footer.astro","true","P2","Standard legal footer disclaimer across all indexable pages"
"DUP-terms-FOOTER-DISCLAIMER","32","EXACT","https://getiptvpanel.com/terms, https://getiptvpanel.com/","src/components/Footer.astro","true","P2","Standard legal footer disclaimer across all indexable pages"
"DUP-refund-policy-FOOTER-DISCLAIMER","32","EXACT","https://getiptvpanel.com/refund-policy, https://getiptvpanel.com/","src/components/Footer.astro","true","P2","Standard legal footer disclaimer across all indexable pages"
"DUP-acceptable-use-FOOTER-DISCLAIMER","32","EXACT","https://getiptvpanel.com/acceptable-use, https://getiptvpanel.com/","src/components/Footer.astro","true","P2","Standard legal footer disclaimer across all indexable pages"
