priority,url,page_name,page_type,indexable,in_sitemap,primary_keyword,secondary_keywords,search_intent,conversion_goal,primary_cta,source_file,review_file,word_count,title,h1,canonical,robots,schema_types,feature_gate,review_priority,notes
"P0","https://getiptvpanel.com/","Homepage","Primary Commercial","true","true","homepage","uk homepage","Commercial B2B","WhatsApp Reseller Lead","Discuss this estimate on WhatsApp -> null","src/pages/index.astro","docs/content-review/pages/00-homepage.md","936","IPTV Reseller UK | Reseller Panel & Credit Packages","IPTV Reseller Panel for UK Reseller Businesses","https://getiptvpanel.com/","index, follow","Organization, WebSite","None","P0","Extracted from static build"
"P0","https://getiptvpanel.com/reseller-panel","IPTV Reseller Panel Overview","Primary Commercial","true","true","reseller panel","uk reseller panel","Commercial B2B","WhatsApp Reseller Lead","Ask for a panel walkthrough -> https://wa.me/33644651365?text=Hello%2C%20I%20would%20like%20to%20ask%20for%20a%20reseller%20panel%20walkthrough%20and%20request%20current%20package%20terms.","src/pages/reseller-panel.astro","docs/content-review/pages/01-reseller-panel.md","526","IPTV Reseller Panel | Customer, Credit & Renewal Management","See How the IPTV Reseller Panel Works","https://getiptvpanel.com/reseller-panel","index, follow","BreadcrumbList","None","P0","Extracted from static build"
"P0","https://getiptvpanel.com/reseller-packages","IPTV Reseller Packages UK","Primary Commercial","true","true","reseller packages","uk reseller packages","Commercial B2B","WhatsApp Reseller Lead","Request a written quote -> https://wa.me/33644651365?text=Hello%2C%20I%20would%20like%20to%20request%20a%20written%20quote%20for%20reseller%20credit%20packages.","src/pages/reseller-packages.astro","docs/content-review/pages/02-reseller-packages.md","477","IPTV Reseller Packages UK | Credit Prices & Terms","Compare IPTV Reseller Credit Packages","https://getiptvpanel.com/reseller-packages","index, follow","BreadcrumbList","None","P0","Extracted from static build"
"P0","https://getiptvpanel.com/become-a-reseller","Become an IPTV Reseller","Primary Commercial","true","true","become a reseller","uk become a reseller","Commercial B2B","WhatsApp Reseller Lead","Prepare application summary -> null","src/pages/become-a-reseller.astro","docs/content-review/pages/03-become-a-reseller.md","606","Become an IPTV Reseller in the UK | Practical Start Guide","How to Become an IPTV Reseller with a Clear Operating Plan","https://getiptvpanel.com/become-a-reseller","index, follow","BreadcrumbList","None","P0","Extracted from static build"
"P1","https://getiptvpanel.com/profit-calculator","IPTV Reseller Profit Calculator","Supporting / Policy","true","true","profit calculator","uk profit calculator","Informational","WhatsApp Reseller Lead","Complete estimate -> null","src/pages/profit-calculator.astro","docs/content-review/pages/04-profit-calculator.md","356","IPTV Reseller Profit Calculator | Estimate Revenue & Costs","Estimate IPTV Reseller Revenue, Costs and Margin","https://getiptvpanel.com/profit-calculator","index, follow","BreadcrumbList","None","P1","Extracted from static build"
"P0","https://getiptvpanel.com/individual-subscription","Individual Subscription Scope","Primary Commercial","false","false","individual subscription","uk individual subscription","Commercial B2B","WhatsApp Reseller Lead","Home -> /","src/pages/individual-subscription.astro","docs/content-review/pages/05-individual-subscription.md","220","Individual Subscription Availability | GetIPTVPanel","Looking for One IPTV Subscription?","https://getiptvpanel.com/individual-subscription","noindex, follow","None","None","P0","Extracted from static build"
"P1","https://getiptvpanel.com/iptv-trial","IPTV Free Trial (Disabled)","Disabled Feature Route","false","false","free trial iptv","iptv trial uk","Trial request","Trial signup","Disabled","src/config/features.ts","docs/content-review/pages/06-iptv-trial.md","24","Page Disabled | GetIPTVPanel","None","https://getiptvpanel.com/iptv-trial","noindex, nofollow","None","TRIAL_ENABLED=false","P1","Feature disabled by launch validator"
"P1","https://getiptvpanel.com/how-to-choose-an-iptv-service","How to Choose an IPTV Service","Supporting / Policy","true","true","how to choose an iptv service","uk how to choose an iptv service","Informational","WhatsApp Reseller Lead","Home -> /","src/pages/how-to-choose-an-iptv-service.astro","docs/content-review/pages/07-how-to-choose-an-iptv-service.md","528","How to Choose an IPTV Service in the UK: 8 Checks","How to Choose an IPTV Service in the UK","https://getiptvpanel.com/how-to-choose-an-iptv-service","index, follow","BreadcrumbList","None","P1","Extracted from static build"
"P1","https://getiptvpanel.com/is-iptv-legal-in-the-uk","Is IPTV Legal in the UK?","Supporting / Policy","false","false","is iptv legal in the uk","uk is iptv legal in the uk","Informational","WhatsApp Reseller Lead","Home -> /","src/pages/is-iptv-legal-in-the-uk.astro","docs/content-review/pages/08-is-iptv-legal-in-the-uk.md","472","Is IPTV Legal in the UK? Rights, Devices and Reselling","Is IPTV Legal in the UK?","https://getiptvpanel.com/is-iptv-legal-in-the-uk","noindex, follow","None","None","P1","Extracted from static build"
"P2","https://getiptvpanel.com/guides","IPTV Player Setup Guides Hub","Supporting / Policy","true","true","guides","uk guides","Informational","WhatsApp Reseller Lead","Ask for setup help -> https://wa.me/33644651365?text=Hello%2C%20I%20need%20help%20choosing%20the%20correct%20setup%20guide.","src/pages/guides/index.astro","docs/content-review/pages/09-guides-index.md","306","IPTV Setup Guides | TiviMate, Smarters and Fire TV","IPTV Player Setup Guides for Supported Devices","https://getiptvpanel.com/guides","index, follow","BreadcrumbList","None","P2","Extracted from static build"
