url,schema_type,property,schema_value,visible_page_match,visible_location,feature_gate,evidence_source,review_status,notes
"https://getiptvpanel.com/","Organization, WebSite","mainEntity / Organization","IPTV Reseller UK | Reseller Panel & Credit Packages","EXACT","Page Head / Header","None","src/pages/index.astro","PASS","Matches visible text"
"https://getiptvpanel.com/reseller-panel","BreadcrumbList","mainEntity / Organization","IPTV Reseller Panel | Customer, Credit & Renewal Management","EXACT","Page Head / Header","None","src/pages/reseller-panel.astro","PASS","Matches visible text"
"https://getiptvpanel.com/reseller-packages","BreadcrumbList","mainEntity / Organization","IPTV Reseller Packages UK | Credit Prices & Terms","EXACT","Page Head / Header","None","src/pages/reseller-packages.astro","PASS","Matches visible text"
"https://getiptvpanel.com/become-a-reseller","BreadcrumbList","mainEntity / Organization","Become an IPTV Reseller in the UK | Practical Start Guide","EXACT","Page Head / Header","None","src/pages/become-a-reseller.astro","PASS","Matches visible text"
"https://getiptvpanel.com/profit-calculator","BreadcrumbList","mainEntity / Organization","IPTV Reseller Profit Calculator | Estimate Revenue & Costs","EXACT","Page Head / Header","None","src/pages/profit-calculator.astro","PASS","Matches visible text"
"https://getiptvpanel.com/how-to-choose-an-iptv-service","BreadcrumbList","mainEntity / Organization","How to Choose an IPTV Service in the UK: 8 Checks","EXACT","Page Head / Header","None","src/pages/how-to-choose-an-iptv-service.astro","PASS","Matches visible text"
"https://getiptvpanel.com/guides","BreadcrumbList","mainEntity / Organization","IPTV Setup Guides | TiviMate, Smarters and Fire TV","EXACT","Page Head / Header","None","src/pages/guides/index.astro","PASS","Matches visible text"
"https://getiptvpanel.com/guides/tivimate-setup","BreadcrumbList, Article","mainEntity / Organization","How to Set Up TiviMate on Android TV or Google TV","EXACT","Page Head / Header","None","src/pages/guides/tivimate-setup.astro","PASS","Matches visible text"
"https://getiptvpanel.com/guides/iptv-smarters-setup","BreadcrumbList, Article","mainEntity / Organization","How to Set Up IPTV Smarters on a Supported Device","EXACT","Page Head / Header","None","src/pages/guides/iptv-smarters-setup.astro","PASS","Matches visible text"
"https://getiptvpanel.com/guides/fire-tv-setup","BreadcrumbList, Article","mainEntity / Organization","How to Set Up an IPTV Player on Fire TV Safely","EXACT","Page Head / Header","None","src/pages/guides/fire-tv-setup.astro","PASS","Matches visible text"
"https://getiptvpanel.com/about","BreadcrumbList","mainEntity / Organization","About GetIPTVPanel | UK-First Reseller Enquiries","EXACT","Page Head / Header","None","src/pages/about.astro","PASS","Matches visible text"
"https://getiptvpanel.com/contact","BreadcrumbList","mainEntity / Organization","Contact GetIPTVPanel | Reseller and Support Enquiries","EXACT","Page Head / Header","None","src/pages/contact.astro","PASS","Matches visible text"
"https://getiptvpanel.com/support","BreadcrumbList","mainEntity / Organization","GetIPTVPanel Support | Account and Setup Help","EXACT","Page Head / Header","None","src/pages/support.astro","PASS","Matches visible text"
"https://getiptvpanel.com/privacy-policy","BreadcrumbList","mainEntity / Organization","Privacy Policy | GetIPTVPanel","EXACT","Page Head / Header","None","src/pages/privacy-policy.astro","PASS","Matches visible text"
"https://getiptvpanel.com/terms","BreadcrumbList","mainEntity / Organization","Website Terms | GetIPTVPanel","EXACT","Page Head / Header","None","src/pages/terms.astro","PASS","Matches visible text"
"https://getiptvpanel.com/refund-policy","BreadcrumbList","mainEntity / Organization","Refund Policy | GetIPTVPanel","EXACT","Page Head / Header","None","src/pages/refund-policy.astro","PASS","Matches visible text"
"https://getiptvpanel.com/acceptable-use","BreadcrumbList","mainEntity / Organization","Acceptable Use Policy | GetIPTVPanel","EXACT","Page Head / Header","None","src/pages/acceptable-use.astro","PASS","Matches visible text"
