source_url,target_url,anchor_text,context,link_type,crawlable,status,notes
/about,/,,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/reseller-panel,Reseller Panel,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/reseller-packages,Packages,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/become-a-reseller,Start Reselling,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/guides,Resources,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/support,Support,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/reseller-panel,Reseller Panel,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/reseller-packages,Packages,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/become-a-reseller,Start Reselling,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/guides,Resources,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/support,Support,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/,Home,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/contact,Contact options,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/,UK reseller operations,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/reseller-panel,Reseller panel,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/reseller-packages,Reseller packages,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/become-a-reseller,Become a reseller,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/profit-calculator,Profit calculator,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/about,About,Rendered HTML,Internal HTML link,true,200 production-like,Self-link
/about,/contact,Contact,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/support,Support,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/guides,Guides,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/is-iptv-legal-in-the-uk,UK legality guide,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/privacy-policy,Privacy,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/terms,Terms,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/refund-policy,Refund policy,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/about,/acceptable-use,Acceptable use,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
/acceptable-use,/,,Rendered HTML,Internal HTML link,true,200 production-like,Direct canonical route
