cluster,primary_keyword,secondary_keywords,intent,target_url,source_file,reported_search_volume,difficulty,cpc,serp_features,business_priority,compliance_risk,content_status,notes
"UK reseller","iptv reseller uk","uk iptv reseller; iptv reseller","Commercial","/","export_research_uk_suggestion_keywords_history_related_eur_2026-08_reseller-iptv.csv","170 (UK) / 590 (Global)","4 / 12","£0.00","Video, Copyright infringement, AI Overview","High","High","Implemented","Homepage is the only canonical page for this dominant reseller intent."
"Reseller panel","iptv reseller panel","reseller panel iptv; reseller iptv panel; reseller panel for iptv; iptv panel; reseller panels","Commercial","/reseller-panel","export_research_uk_suggestion_keywords_history_related_eur_2026-08_reseller-iptv.csv","260","7","£0.00","Video, Copyright infringement, AI Overview, Related searches, Sites","High","High","Implemented","Panel workflow is clearly labelled as an illustration where exact production features are not evidenced."
"Reseller packages","iptv reseller packages","wholesale iptv; iptv wholesale; reseller credits","Commercial","/reseller-packages","export_research_uk_suggestion_keywords_history_related_eur_2026-08_reseller-iptv.csv","50","18","£0.00","People also ask, Copyright infringement, AI Overview, Related searches","High","High","Implemented","Uses owner-supplied panel prices and credit terms; no Product or Offer schema."
"Become a reseller","become iptv reseller","reselling iptv; resell iptv; iptv business","Commercial investigation","/become-a-reseller","export_research_uk_suggestion_keywords_history_related_eur_2026-08_reseller-iptv.csv","20","5","£0.00","Video, People also ask, Copyright infringement, AI Overview, Related searches, Sites","High","High","Implemented","No income or profit promise."
"Profit calculator","iptv reseller profit calculator","iptv reseller margin; reseller break even; iptv business costs","Commercial investigation","/profit-calculator","export_research_uk_suggestion_keywords_history_related_eur_2026-08_reseller-iptv.csv","50","12","£0.00","Video, People also ask, AI Overview, Related searches","Medium","Medium","Implemented","Reports an estimate from visitor inputs, not guaranteed profit."
"Individual UK","iptv subscription uk","iptv service uk; uk iptv service; individual iptv subscription","Transactional","/individual-subscription","export_research_uk_suggestion_keywords_history_similar_eur_2026-08_iptv.csv","880","14","£0.00","Video, Copyright infringement, AI Overview","Low while disabled","Critical","Noindex — offer disabled","No rights, territory, product, price or fulfilment evidence is configured."
"Provider choice","how to choose an iptv service","best uk iptv; best iptv service uk; iptv reviews uk","Commercial investigation","/how-to-choose-an-iptv-service","export_research_uk_suggestion_keywords_history_similar_eur_2026-08_iptv.csv","480","16","£0.00","Reviews, People also ask, Copyright infringement","Medium","High","Implemented","Transparent buyer guide; no self-awarded ranking or fake comparison."
"UK legality","is iptv legal uk","is iptv legal in uk; is iptv illegal in uk; legal iptv uk","Informational","/is-iptv-legal-in-the-uk","export_research_uk_suggestion_keywords_history_similar_eur_2026-08_iptv.csv","720","11","£0.00","People also ask, AI Overview, Official Sources","Medium","Critical","Noindex — legal review required","Technical source review complete; qualified independent legal review not recorded."
"Player setup hub","iptv player setup","iptv setup guides; official player setup","Informational","/guides","export_research_uk_suggestion_keywords_history_similar_eur_2026-08_iptv.csv","320","8","£0.00","Video, People also ask, AI Overview","Low","Medium","Implemented","Links only to official-store and authorised-credential guidance."
"TiviMate setup","tivimate setup","tivimate android tv setup; tivimate epg; tivimate favourites","Informational","/guides/tivimate-setup","export_research_uk_suggestion_keywords_history_similar_eur_2026-08_iptv.csv","1300","15","£0.00","Video, People also ask, AI Overview","Low","Medium","Implemented","Official Google Play route only; no unofficial installation package."
"IPTV Smarters setup","iptv smarters setup","iptv smarters login; iptv smarters official app","Informational","/guides/iptv-smarters-setup","export_research_uk_suggestion_keywords_history_similar_eur_2026-08_iptv.csv","1600","18","£0.00","Video, People also ask, AI Overview","Low","Medium","Implemented","Official-store publisher checks; no unofficial package link."
"Fire TV setup","iptv fire tv setup","fire tv official appstore iptv player; fire tv player setup","Informational","/guides/fire-tv-setup","export_research_uk_suggestion_keywords_history_similar_eur_2026-08_iptv.csv","1900","21","£0.00","Video, People also ask, AI Overview","Low","High","Implemented","No Developer Options, sideloading or Downloader-code instructions."
"Evasion intent","bypass ISP","anti block; anti-block; unblock provider","Evasion","","Embedded rejection rules","110","24","£0.00","Copyright infringement","None","Critical","Rejected","Unsafe enforcement-evasion intent; removed legacy routes return 410."
"Unauthorised acquisition","free M3U","Downloader code; sideload APK; unofficial APK","Unauthorised acquisition","","Embedded rejection rules","2400","32","£0.00","Copyright infringement","None","Critical","Rejected","Not suitable for publication. Educational warnings are valid context, not targets."
"Protected-service access","official Sky","official Premier League; broadcaster-branded subscription; every match","Unsupported rights","","Embedded rejection rules","5400","45","£0.00","Copyright infringement","None","Critical","Rejected","No documented authorisation or distribution rights."
